step,loss,step_time_s,tokens_per_sec
1,3.4565422534942627,0.054584458004683256,4689.97970041281
2,3.409559965133667,0.0028075419832021,91182.96414859772
3,3.4399521350860596,0.0023754999856464565,107766.78659096411
4,3.4132466316223145,0.002242540998850018,114156.21838409091
5,3.3628666400909424,0.0022271249908953905,114946.3999759969
6,3.4494402408599854,0.002223291026894003,115144.61980159153
7,3.447052240371704,0.0023144580191001296,110609.04880855596
8,3.390413284301758,0.0023157920222729445,110545.33288733615
9,3.3663487434387207,0.002238999994006008,114336.75778710748
10,3.3594181537628174,0.0023301250184886158,109865.3496995834
11,3.2869977951049805,0.0022447920055128634,114041.74612672508
12,3.3232812881469727,0.0022228339803405106,115168.29518720241
13,3.314634084701538,0.0023904169793240726,107094.28614935122
14,3.326460361480713,0.0022224170388653874,115189.90159052052
15,3.275763511657715,0.002213958010543138,115630.01591759952
16,3.2399086952209473,0.0021893330267630517,116930.58884627446
17,3.264052629470825,0.002205750031862408,116060.29527464106
18,3.238661050796509,0.0022224169806577265,115189.90460747674
19,3.2546138763427734,0.002211415965575725,115762.9337876976
20,3.2207767963409424,0.0021687920088879764,118038.05941320353
21,3.2257370948791504,0.0022212500334717333,115250.42032295719
22,3.2351114749908447,0.0021554999984800816,118765.94765971448
23,3.1984074115753174,0.002155583002604544,118761.37438951817
24,3.2077341079711914,0.00221408304059878,115623.48624953424
25,3.1929421424865723,0.0021914580138400197,116817.20497643467
26,3.1418063640594482,0.002289708994794637,111804.600751442
27,3.1231696605682373,0.002170250052586198,117958.75765326458
28,3.1384527683258057,0.0021492079831659794,119113.64651776914
29,3.1316933631896973,0.002235917025245726,114494.40972518457
30,3.1185810565948486,0.0022062089992687106,116036.15073860002
31,3.1036882400512695,0.002176125010009855,117640.30045261078
32,3.110435962677002,0.002199042006395757,116414.32917399587
33,3.088575839996338,0.0022091660066507757,115880.83431906093
34,3.119133710861206,0.002164374978747219,118278.95004967098
35,3.063523292541504,0.0021735000191256404,117782.3776155218
36,3.0552890300750732,0.0021591249969787896,118566.54911513437
37,3.040996551513672,0.0021247919648885727,120482.38332519533
38,3.0432472229003906,0.002133791975211352,119974.20693956973
39,3.0086557865142822,0.0022220840328373015,115207.16418322062
40,2.9873530864715576,0.002198166970629245,116460.67083189668
41,2.955603837966919,0.002129542001057416,120213.64212252406
42,2.9671499729156494,0.002171000000089407,117918.01012872285
43,2.95320725440979,0.002142874989658594,119465.6716959426
44,2.9638965129852295,0.002222708018962294,115174.8218011638
45,2.9713451862335205,0.002180832962039858,117386.34019936516
46,2.969167470932007,0.002114709001034498,121056.84511427667
47,2.9081826210021973,0.002159958006814122,118520.82271617533
48,2.909747838973999,0.0021483749733306468,119159.8315833668
49,2.8977200984954834,0.002181124989874661,117370.62350320011
50,2.916433811187744,0.0021169999963603914,120925.83865853694
51,2.8874125480651855,0.0023446670384146273,109183.94629418138
52,2.8792099952697754,0.0021849999902769923,117162.47191724101
53,2.859043598175049,0.002165457990486175,118219.79513097112
54,2.882277011871338,0.002144958998542279,119349.6007028472
55,2.8414878845214844,0.0021825829753652215,117292.21884779082
56,2.8234188556671143,0.0021847079624421895,117178.1329133935
57,2.85200834274292,0.002203333016950637,116187.61123740532
58,2.8097524642944336,0.0021823749993927777,117303.39656164924
59,2.7854108810424805,0.002152249973732978,118945.29126464795
60,2.7632017135620117,0.002141083008609712,119565.65858052869
61,2.750077486038208,0.002156833012122661,118692.5453018989
62,2.7298226356506348,0.0021374999778345227,119766.08311329702
63,2.7324562072753906,0.0021341670071706176,119953.12416500771
64,2.7398085594177246,0.0021717919735237956,117875.00972509469
65,2.750028610229492,0.0022033340064808726,116187.5590568671
66,2.6989893913269043,0.0021846669842489064,117180.33084480077
67,2.709759473800659,0.0023061250103637576,111008.72626138326
68,2.7266526222229004,0.0021560000022873282,118738.40432671906
69,2.6840646266937256,0.0021565830102190375,118706.30473621271
70,2.6749937534332275,0.0021582500194199383,118614.61725773726
71,2.654968500137329,0.0021566670038737357,118701.68159487814
72,2.6536636352539062,0.0021094169933348894,121360.5469230984
73,2.6276798248291016,0.0021270409924909472,120354.99123136413
74,2.6519229412078857,0.0021417500101961195,119528.42244952676
75,2.6527981758117676,0.0021892499644309282,116935.02530970438
